person,personLabel,Property0Label,Property1Label,Property2Label,Property3Label,Property4Label,Property5Label,Property6Label,Property7Label,Property8Label,Property9Label,Property10Label,Property11Label,Property12Label,Property13Label,Property614Label,Property15Label,Property16Label,Property17Label,Property18Label,Property19Label,Property20Label,Property21Label,Property22Label,Property23Label,Property24Label,Property25Label,Property26Label
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Oundle School,,,,sociobiologist,secularism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Chafyn Grove School,,,,sociobiologist,secularism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,University of Oxford,,,,theoretical biologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Balliol College,,,,theoretical biologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Oundle School,,,,theoretical biologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Chafyn Grove School,,,,theoretical biologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,University of Oxford,,,,ethologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Balliol College,,,,ethologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Oundle School,,,,ethologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Chafyn Grove School,,,,ethologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,University of Oxford,,,,sociobiologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Balliol College,,,,sociobiologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Oundle School,,,,sociobiologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Chafyn Grove School,,,,sociobiologist,agnosticism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Balliol College,,,,actor,secularism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Oundle School,,,,actor,secularism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
http://www.wikidata.org/entity/Q44461,Richard Dawkins,Nairobi,male,United Kingdom,professor,,,Chafyn Grove School,,,,actor,secularism,,,,,,Doctor of Philosophy,Oxford,1941-03-26T00:00:00Z,,,,,Dawkins,Richard,Robert Trivers
